Country,Code,Score1,Continent,educ1,emp1,Score2,educ2,emp2,Score3,educ3,emp3,Score4,educ4,emp4,Score5,educ5,emp5
Argentina,ARG,0.75,South_America,110.2818718,65.73379488,0.754166667,115.3426025,65.84637212,0.775,117.0896713,65.76177798,0.791666667,113.5101929,65.06516312,0.8,110.4898504,68.17291115
Australia,AUS,0.854166667,Oceania,101.3824066,73.34246889,0.854166667,102.5441238,77.00388877,0.858333333,104.8279434,80.18709209,0.916666667,105.5978775,81.91169792,0.958333333,100.6966534,84.37465836
Belarus,BLR,0.729166667,Europe,100.3177902,79.57316893,0.770833333,107.806926,81.69908482,0.770833333,101.2347778,82.6047614,0.775,100.5873764,82.74328782,0.791666667,100.6279354,81.67520942
Brazil,BRA,0.529166667,South_America,163.0208893,59.59267331,0.741666667,138.566925,66.80978354,0.866666667,127.3860016,70.57886264,0.875,127.5544891,69.61109786,0.875,127.5544891,72.38681832
Canada,CAN,1,North_America,100.8159103,79.50201674,1,99.44438171,82.67652608,1,98.23512726,85.2064606,1,100.1186554,86.7734131,1,101.5177402,86.98612467
Chile,CHL,0.722222222,South_America,94.9663372,48.79327942,0.722222222,100.3674297,51.61987894,0.776388889,103.5263718,58.61024868,0.805555556,100.9323776,65.37197368,0.805555556,99.79893875,68.83586444
China,CHN,0.729166667,Asia,105.5798931,85.51919649,0.754166667,111.8342285,84.66813728,0.779166667,99.91634178,82.88563439,0.783333333,98.14976807,81.45133231,0.791666667,99.59626465,80.60037136
Colombia,COL,0.727777778,South_America,117.7967319,63.6510481,0.769444444,117.6617031,65.3975667,0.808333333,122.4990311,64.68618628,0.8125,115.0792023,69.73203034,0.8375,113.4679489,70.94404062
"Congo, Rep.",COG,0.604166667,Africa,93.23744507,93.61780569,0.604166667,96.54865723,94.30764899,0.604166667,102.7985229,94.44336237,0.604166667,107.562706,94.24459777,0.604166667,107.562706,94.38099394
El Salvador,SLV,0.802777778,North_America,102.0579117,53.33590834,0.840277778,111.9350937,57.28369634,0.873611111,116.3588745,58.23563774,0.902777778,108.8350647,60.66963574,0.902777778,96.48547363,60.01883451
Fiji,FJI,0.7125,Oceania,104.5857788,49.07594828,0.729166667,106.1428329,46.1647205,0.7625,107.3265171,48.49109386,0.833333333,106.6768494,55.11055436,0.833333333,108.304156,50.40236692
Iceland,ISL,0.9375,Europe,98.86385651,86.04454332,0.958333333,99.05861816,87.77792639,0.958333333,98.14107819,87.79098454,0.970833333,98.50484619,90.07921154,0.995833333,99.68047905,89.46133815
"Korea, Rep.",KOR,0.672222222,Asia,104.2855377,64.7414993,0.701388889,99.95032196,66.86574886,0.829166667,101.8823685,68.5800223,0.854166667,100.0786301,69.19631949,0.854166667,98.45771408,72.53712508
Lithuania,LTU,0.775,Europe,99.32111816,76.92883929,0.841666667,102.6374023,81.39061729,0.895833333,100.5545776,81.51954148,0.908333333,101.0271866,83.5256484,0.916666667,103.2098961,84.07618995
Malaysia,MYS,0.590277778,Asia,96.5864048,57.29096309,0.590277778,98.07088928,57.02301539,0.590277778,98.90919952,56.87210149,0.602777778,103.00867,60.65958085,0.611111111,105.2680181,65.85293549
Mexico,MEX,0.805555556,North_America,106.9288208,46.1443861,0.861111111,108.1256088,47.85542306,0.884722222,108.0439163,52.46838834,0.941666667,109.2703934,55.10283922,0.958333333,106.050108,56.18588162
New Zealand,NZL,0.954166667,Oceania,100.9037445,76.20334362,0.983333333,98.12237244,78.75483982,1,100.3120575,81.36821396,1,99.2391037,83.74226895,1,99.74868011,85.65355217
Nicaragua,NIC,0.6875,North_America,99.81375275,40.97024789,0.6875,112.1958664,48.08275813,0.704166667,121.5618057,55.63258195,0.733333333,120.1222229,57.42381949,0.905555556,120.1222229,59.2826622
Niger,NER,0.465277778,Africa,22.47764816,76.68802971,0.469444444,31.96065979,76.08574424,0.486111111,44.9215538,75.48439651,0.486111111,60.89421692,74.02443951,0.502777778,66.08508205,72.50799414
Nigeria,NGA,0.736111111,Africa,79.10727437,84.12122192,0.736111111,89.12612,85.43444483,0.748611111,86.79446259,85.66839619,0.769444444,88.32167664,84.59817445,0.777777778,82.17733002,80.29943967
Papua New Guinea,PNG,0.75,Oceania,61.72723961,96.6787334,0.75,53.79603119,95.81076637,0.75,51.54657491,95.43444741,0.754166667,95.67696381,96.00596102,0.770833333,103.5730209,97.39008695
Russian Federation,RUS,0.7375,Europe,104.9523888,76.91686336,0.770833333,110.6293201,80.08270949,0.770833333,96.76297607,80.98513564,0.770833333,100.2008419,79.11262699,0.770833333,101.5051632,77.95402271
Samoa,WSM,0.75,Oceania,100.1427567,57.27099845,0.75,104.3201279,56.91455231,0.75,107.811285,56.78218035,0.8,108.2567921,56.28949458,0.875,109.8349121,56.1472908
Tanzania,TZA,0.8625,Africa,67.91728058,93.98247353,0.875,84.91970825,94.86133947,0.916666667,108.1581024,96.00204383,0.916666667,95.77517853,92.62841852,0.916666667,92.05333862,91.07382632
Thailand,THA,0.634722222,Asia,94.14340591,80.84242317,0.701388889,97.47294807,79.64516034,0.740277778,100.1580597,79.5692161,0.798611111,97.58525085,79.72481915,0.798611111,99.80148468,78.11136759
Ukraine,UKR,0.729166667,Europe,114.1647453,79.90991926,0.729166667,110.1286819,79.50653259,0.75,99.55853577,77.2707288,0.779166667,100.8475815,75.36027325,0.808333333,100.8475815,74.40467713
United States,USA,0.916666667,North_America,103.4231319,78.72653265,0.916666667,100.7477203,80.12493494,0.916666667,102.5138321,81.19608893,0.916666667,99.26754303,81.90643653,0.933333333,101.0455112,82.13650479
Uruguay,URY,0.773611111,South_America,109.6676788,66.01946004,0.794444444,109.08862,69.47413336,0.827777778,112.9586685,70.97160552,0.881944444,110.6215683,72.9282042,0.881944444,107.8408031,75.24758165
Zimbabwe,ZWE,0.844444444,Africa,104.8380127,82.11403395,0.869444444,105.1393089,84.99571987,0.894444444,107.593935,87.37600537,0.902777778,110.0485611,87.39050945,0.902777778,110.0485611,87.50733178
